ethnicity,LAD19CD,count_lad19
Black/African/Caribbean/Black British: Caribbean,E08000021,217
Black/African/Caribbean/Black British: Other Black,E08000021,279
Other ethnic group,E08000021,4098
Other ethnic group: Arab,E08000021,2602
Other ethnic group: Any other ethnic group,E08000021,1496
All usual residents,E08000022,200801
White,E08000022,194025
White: English/Welsh/Scottish/Northern Irish/British,E08000022,190936
White: Irish,E08000022,596
White: Gypsy or Irish Traveller,E08000022,29
White: Other White,E08000022,2464
Mixed/multiple ethnic groups,E08000022,1815
Mixed/multiple ethnic groups: White and Black Caribbean,E08000022,448
Mixed/multiple ethnic groups: White and Black African,E08000022,385
Mixed/multiple ethnic groups: White and Asian,E08000022,602
Mixed/multiple ethnic groups: Other Mixed,E08000022,380
Asian/Asian British,E08000022,3815
Asian/Asian British: Indian,E08000022,1095
Asian/Asian British: Pakistani,E08000022,319
Asian/Asian British: Bangladeshi,E08000022,686
Asian/Asian British: Chinese,E08000022,869
Asian/Asian British: Other Asian,E08000022,846
Black/African/Caribbean/Black British,E08000022,734
Black/African/Caribbean/Black British: African,E08000022,576
Black/African/Caribbean/Black British: Caribbean,E08000022,91
Black/African/Caribbean/Black British: Other Black,E08000022,67
Other ethnic group,E08000022,412
Other ethnic group: Arab,E08000022,177
Other ethnic group: Any other ethnic group,E08000022,235
All usual residents,E08000023,148127
White,E08000023,142099
White: English/Welsh/Scottish/Northern Irish/British,E08000023,140821
White: Irish,E08000023,305
White: Gypsy or Irish Traveller,E08000023,9
White: Other White,E08000023,964
Mixed/multiple ethnic groups,E08000023,1325
Mixed/multiple ethnic groups: White and Black Caribbean,E08000023,324
Mixed/multiple ethnic groups: White and Black African,E08000023,229
Mixed/multiple ethnic groups: White and Asian,E08000023,440
Mixed/multiple ethnic groups: Other Mixed,E08000023,332
Asian/Asian British,E08000023,3311
Asian/Asian British: Indian,E08000023,643
Asian/Asian British: Pakistani,E08000023,434
Asian/Asian British: Bangladeshi,E08000023,1534
Asian/Asian British: Chinese,E08000023,235
Asian/Asian British: Other Asian,E08000023,465
Black/African/Caribbean/Black British,E08000023,420
Black/African/Caribbean/Black British: African,E08000023,316
Black/African/Caribbean/Black British: Caribbean,E08000023,61
Black/African/Caribbean/Black British: Other Black,E08000023,43
Other ethnic group,E08000023,972
Other ethnic group: Arab,E08000023,566
Other ethnic group: Any other ethnic group,E08000023,406
All usual residents,E08000024,275506
White,E08000024,264282
White: English/Welsh/Scottish/Northern Irish/British,E08000024,261209
White: Irish,E08000024,608
White: Gypsy or Irish Traveller,E08000024,70
White: Other White,E08000024,2395
Mixed/multiple ethnic groups,E08000024,1778
Mixed/multiple ethnic groups: White and Black Caribbean,E08000024,539
Mixed/multiple ethnic groups: White and Black African,E08000024,239
Mixed/multiple ethnic groups: White and Asian,E08000024,608
Mixed/multiple ethnic groups: Other Mixed,E08000024,392
Asian/Asian British,E08000024,7336
Asian/Asian British: Indian,E08000024,1736
